experiment_set	experiment	score_set	MaveDB_urn	gene	n_variants	score_min	score_max	score_mean	score_std
3.0	a	2.0	urn:mavedb:00000003-a-2	BRCA1	2	-0.0894864327305727	0.6767863950322555	0.2936499811508414	0.5418367127500872
13.0	a	1.0	urn:mavedb:00000013-a-1	PTEN	870	-0.12385638896582	1.3362400308906102	0.6469771674876784	0.35698293667461994
13.0	b	1.0	urn:mavedb:00000013-b-1	TPMT	11	0.286188995716656	1.6624595822335602	0.9482688798237141	0.34666820097165985
36.0	a	1.0	urn:mavedb:00000036-a-1	LDLRAP1	10	0.5079	0.9561	0.7825300000000001	0.1556855024293099
36.0	a	2.0	urn:mavedb:00000036-a-2	LDLRAP1	10	0.6323	0.9094	0.78635	0.1049566074358563
48.0	a	1.0	urn:mavedb:00000048-a-1	CXCR4	532	-1.6675556177500002	1.85004349675	0.05600483175535714	0.46943477937106687
48.0	b	1.0	urn:mavedb:00000048-b-1	CXCR4	532	-4.4869542585	3.2925442055	-0.4104889910883929	0.9559373100477526
48.0	c	1.0	urn:mavedb:00000048-c-1	CXCR4	532	-4.152910331	2.844313389	-0.22451457942410716	0.8259032003150625
49.0	a	1.0	urn:mavedb:00000049-a-1	MTHFR	8	0.4605	0.9599	0.783	0.16078534048316007
49.0	a	2.0	urn:mavedb:00000049-a-2	MTHFR	7	0.0195	0.9855	0.6511285714285714	0.4236542407604174
49.0	a	3.0	urn:mavedb:00000049-a-3	MTHFR	7	0.2204	0.9649	0.7088142857142856	0.2704477055339376
49.0	a	4.0	urn:mavedb:00000049-a-4	MTHFR	8	0.2555	0.9655	0.70355	0.2790838583651874
49.0	a	5.0	urn:mavedb:00000049-a-5	MTHFR	7	0.0324	0.9801	0.6971285714285714	0.37624156120895574
49.0	a	6.0	urn:mavedb:00000049-a-6	MTHFR	8	0.3626	0.9642	0.7781625	0.21328899199710907
49.0	a	7.0	urn:mavedb:00000049-a-7	MTHFR	8	0.494912554030645	1.27952532139683	0.9197478415543658	0.24345745171820077
49.0	a	8.0	urn:mavedb:00000049-a-8	MTHFR	7	0.3579571498053879	1.33214172448647	0.8675515954476409	0.3280274372876005
55.0	0	1.0	urn:mavedb:00000055-0-1	NUDT15	2	0.149752975982273	0.438156331944414	0.2939546539633435	0.2039319687177876
55.0	a	1.0	urn:mavedb:00000055-a-1	NUDT15	2	0.149752975982273	0.8118085275246221	0.48078075175344753	0.46814397001779484
55.0	b	1.0	urn:mavedb:00000055-b-1	NUDT15	2	0.438156331944414	0.7597971932485971	0.5989767625965056	0.22743443413486966
68.0	a	1.0	urn:mavedb:00000068-a-1	TP53	1591	-1.9961782418930705	2.442838928754642	0.49562938544056917	0.795368475921304
68.0	b	1.0	urn:mavedb:00000068-b-1	TP53	1591	-2.472557104134263	1.924263515652428	0.26799978686838877	0.6960894137585767
68.0	c	1.0	urn:mavedb:00000068-c-1	TP53	1591	-2.0212590181512065	1.3628563923441817	-0.2446666233309096	0.7427582883268613
81.0	a	1.0	urn:mavedb:00000081-a-1	BRCA1	11	1.0	4.0	2.25	1.4222261679238197
81.0	a	2.0	urn:mavedb:00000081-a-2	BRCA1	195	-2.613843582675	0.835090468495	-0.1847307683743752	0.5431420550993258
